Security;summary   ;description   
0;FileConfigureTest can't pass in Windows box   ;Because of the File separator is different between the unix and windows system  So the test can't pass in windows box I just attached a patch for it  Please have a look at it  I tested it in windows box    
0;Throw Useful Exception on No TypeConverter Available   ;When there is no type converter available an NPE is thrown that requires tracing through sources to find root of problem   
0;Most recent snapshot requires ActiveMQ   ;This may be moot given the projects' relationship  but it's a recently introduced side effect  Before the most recent snapshot  I was able to use Camel without any ActiveMQ jar's floating around so long as I never tried to use any 'activemq  queue  foo' URI's  Now with the most recent snapshot  the first time I do something that uses AnnotationTypeCoverterLoader  ActiveMQConverter gets loaded  and then causes a NoClassDefFoundError for ActiveMQDestination    
0;JMSXGroupID is not copied across ActiveMQ endpoints   ;See thread   http  www nabble comMethodNameinheaderisignoredbybeanReftfs htmla   
0;enable polling via the http component   ;   
0;XPath namespaces configuration not possible through xml   ;Xpath xml element offers no way to define namespace mappings    
0;URL link broken in org apache camel Processor API doc   ;Message Transformer' link is broken    
0;org apache camel processor UnitOfWorkWithAsyncFlowTest failure   ;Running org apache camel processor UnitOfWorkWithAsyncFlowTestTests run     Failures     Errors     Skipped     Time elapsed     sec lt lt lt  FAILURE!This prevents developer from building camel under Linux platform  Thanks!   
0;New converter    Node > Source   ;Currently  there is no converter from Node gt  Source It is required when using Camel's splitter   functionality inside ServiceMix  from 'jbi  service  urn  eu  java  smx  fleetintegrator  camel'   splitter xpath 'tracestrace'    to 'jbi  endpoint  urn  eu  java  smx  fleetintegrator  jms  mq'     
0;exception clause doesn't proceed with pipeline   ;Problem is very similar to CAMEL but this time with exception clause As exceptions are not cleared pipeline doesn't proceed    
0;the    release didnt' seem to include the javadocs or doc directory  or manual !   ;I wondered if this was due to your machine Hiram having some dodgy maven plugin around or something?   
0;Headers lost after XSLT processing   ;After xslt processing the message headers are lost  See attached unit test  this test fails since revision  http  svn apache orgviewvc?view revamp revision    
0;Fix performance counters   ;   
0;Upgrade geronimospecs version to     ;from     
0;Add getter method for routeCollection property in RouteBuilder class   ;I need to stop a RouteBuilder  A solution for this issue could be access to routeCollection property in RouteBuilder class    
0;cxf camel transport should support to register itself to the cxf bus automatically   ;when cxf bus init  all tranports module on the classpath should register itself to the bus automatically cxf machenism for this is just add a spring bean to describe the transport id and transport factory class mapping per as belowlt beans xmlns 'http  www springframework orgschemabeans' xmlns  xsi 'http  www w orgXMLSchemainstance' xmlns  foo 'http  cxf apache orgconfigurationfoo' xsi  schemaLocation ' http  www springframework orgschemabeans http  www springframework orgschemabeansspringbeans xsd'gt  lt bean class 'org apache camel component cxf transport CamelTransportFactory' lazyinit 'true'gt  lt property name 'bus' ref 'cxf'gt  lt property name 'transportIds'gt  lt listgt  lt valuegt http  cxf apache orgtransportscamellt valuegt  lt listgt  lt propertygt  lt beangt lt beansgt    
0;[Spring integration] TheadType is missing in orgapachecamelmodeljaxb index   ;TheadType is missing in orgapachecamelmodeljaxb index  gt  JAXB don't know how to unmarshall thread Bug description found in Camel Users forum    http  www nabble comProcessorthreadpooltds html   
0;[Spring integration] Bad urls in METAINFspring schemas   ;http  activemq apache orgcamelschemaspringcamelspring  xsd becomes http  activemq apache orgcamelschemaspringcamelspring   xsdhttp  activemq apache orgcamelschemaspringcamelspring  xsd becomes http  activemq apache orgcamelschemaspringcamelspring   xsdThere's no camelspring  xsd and camelspring  xsd under http  activemq apache orgcamelschemaspring   
0;DeadLetterChannel  logging improvements when exchange handled by dead letter   ;The submitted patch have these improvements to the logger in deadletterchannel for delivery attempts outputs exchange id so we can correlate the lines in the log files  now also logs when the exchange could not be delivered and was handled by the failure processer  usually a deadletterchannel  minor issues with existing debug logging when sleeping  now also output millis  to be in line with other similar log lines in CamelI have not outputted the exchange itself  exchange toString    when the delivery could not be delivered successfully since there could be sensitive data in the exchange  e g  an invoice input message  that we do not want to be logged in our log But I think the logging of the exchange id is a good improvement and that they are aligned in the same position in the logline so it's easier to grepfind in the logs when you investigate and incident    
