Security;summary;description
0;Network Server Protocol error when select fails and order by is specified   ;Reporting for Army  filed on derbydev list.If  when using the Network Server  one tries to execute a select statement that fails because of an SQL exception ex. dividebyzero  and if an order by clause is specified as part of the select  the server will throw a distributed protocol exception  instead of the appropriate error.Repro using the ij utilityijgt  connect jdbcderbynetlocalhostmyDBuseru passwordp  ijgt  create table t i int  j int  rows insertedupdateddeletedijgt  insert into t values    row insertedupdateddeleted  Without an order by its fine...   gt  Attempt to divide by zero.  which is fineijgt  select fn modi j} from t ERROR  DB SQL error SQLCODE   SQLSTATE   SQLERRMC   With an order by  it dies...ijgt  select fn modi j} from t order by  ERROR  Execution failed due to a distribution protocol error that caused deallocation of the conversation. A DRDA Data Stream Syntax Error was detected. Reason xNOTESThe problem is in the DRDAConnThread.java file  processCommands... method  in the case CodePoint.OPNQRY block of code. In the case of an SQL exception  theres a call to writer.clearBuffer that is used to ensure that only an OPNQFLRM is sent back to the client  not the OPNQRYRM andor QRYDSC that may have been written to buffer before the OPNQFLRM. That call to clearBuffer has to be replaced with something smarter  so that instead of doing a full clear which causes the problem shown above  it only backs out the buffer writes that it has made since beginning the case CodePoint.OPNQRY block...   
0;NPE when trying to create a database at a directory that is not allowed   ;Opening this bug on behalf of Daniel DebrunnerThis bug occurs in embedded Derby and Derby Network Server. In Derby Network Server  it might be best for a security exception to be thrown when trying to create a database at a disallowed directory SQLSTATE ).This bug can be reproduced in IJ like soif your D drive is an inaccessible disk. e.g. your CDROM)ijgt  connect jdbcderbydwombat createtrue ERROR XJ Failed to create database dwombat   
0;Make LOCKS as nonreserved keyword in Derby since it is not a reserved keyword in the SQL standards   ;Since LOCKS is not a reserved keyword in SQL standards  Derby should not make LOCKS as reserved keyword.   
1;When using encryption  do not store the length information about the external key in service.properties   ;When using derby database encryption there is a provision to provide the key to be used for encryption as an external key. In this case the key is not stored in the database for added security. There should not be any useful information about the external key that was used for encrypting the database in the service.properties.Right now  key length is stored in service.properties. This should not be stored in service.properties.   
0;Support for like ? Escape ?   ;Request to have support forSelect * from foo where like ? escape ?This functionality works with other JDBCRDBMS combos including DBDB universal driver.This functionality is beneficial for tools as well as appservers for generating the SQL from EJBQL   
0;Request support for CAST) in Like clause   ;Request support for CAST) in like clause for exampleselect t.ID  t.QUANTITY  t.NAME  t.PRICE  t.PNUM from PRODUCTEJB_TABLE t where t.NAME like CAST ? AS VARCHAR))This is supported by DB and will ease migration between DB and Derby   
0;NPE when creating a trigger on a table and default schema doesnt exist.   ;BACKGROUNDWhen connecting to a Derby db with a user id and password  the default schema is USER. For example  if I connect withijgt  connect jdbcderbymyDB usersomeUser passwordsomePwd then the default schema is SOMEUSER.PROBLEMIt turns out that if a table t exists in a nondefault schema and the default schema in this case  SOMEUSER) doesnt exist yet because no objects have been created in that schema)  then attempts to create a trigger on t using its qualified name will lead to a null pointer exception in the Derby engine.REPROIn ij  Create database with default schema SOMEUSER.ijgt  connect jdbcderbymyDB createtrue usersomeUser passwordsomePwd   Create table t in a nondefault schema  in this case  call it ITKO.ijgt  create table itko.t i int)  rows insertedupdateddeleted  Now schema ITKO exists  and T exists in schema ITKO  but default schema SOMEUSER does NOT exist  because we havent created any objects in that schema yet.  So now we try to create a trigger in the ITKO i.e. the nondefault) schema...ijgt  create trigger trig after update on itko.t for each row mode dbsql select * from sys.systables ERROR XJ Java exception  java.lang.NullPointerException.A look at the derby.log file shows the stack trace given below. In a word  it looks like the compilation schema field of SYS.SYSTRIGGERS isnt getting set  and so it ends up being null. That causes the NPE in subsequent processing...java.lang.NullPointerException at org.apache.derby.impl.sql.catalog.SYSSTATEMENTSRowFactory.makeSYSSTATEMENTSrowSYSSTATEMENTSRowFactory.java) at org.apache.derby.impl.sql.catalog.DataDictionaryImpl.addSPSDescriptorDataDictionaryImpl.java) at org.apache.derby.impl.sql.execute.CreateTriggerConstantAction.createSPSCreateTriggerConstantAction.java) at org.apache.derby.impl.sql.execute.CreateTriggerConstantAction.executeConstantActionCreateTriggerConstantAction.java) at org.apache.derby.impl.sql.execute.MiscResultSet.openMiscResultSet.java) at org.apache.derby.impl.sql.GenericPreparedStatement.executeGenericPreparedStatement.java) at org.apache.derby.impl.jdbc.EmbedStatement.executeStatementEmbedStatement.java) at org.apache.derby.impl.jdbc.EmbedStatement.executeEmbedStatement.java) at org.apache.derby.impl.jdbc.EmbedStatement.executeEmbedStatement.java) at org.apache.derby.impl.tools.ij.ij.executeImmediateij.java) at org.apache.derby.impl.tools.ij.utilMain.doCatchutilMain.java) at org.apache.derby.impl.tools.ij.utilMain.goutilMain.java) at org.apache.derby.impl.tools.ij.Main.goMain.java) at org.apache.derby.impl.tools.ij.Main.mainCoreMain.java) at org.apache.derby.impl.tools.ij.Main.mainMain.java) at org.apache.derby.tools.ij.mainij.java)   
0;RunSuite summary rounds incorrectly   ;Example output from RunSuite in the report file Tests Run Pass  tests passed)  Fail  tests failed)A single failure should not lead to  fail and  pass.Should round down on pass percentage and round up on fail percentage.   
0;dblook displays message keys instead of their associated text   ;Using Derby version ...  )  when I execute java org.apache.derby.tools.dblookinstead of getting the usage message  I get CSLOOK_UsageSimilarly  when using dblook to generate database schema  the output text contains keys such as the one above  instead of their associated text. e.g.  CSLOOK_Timestamp  lt  .gt   CSLOOK_DBName  lt samplegt   CSLOOK_DBUrl  lt jdbcderbysamplegt   appendLogs false    CSLOOK_SchemasHeader  CREATE SCHEMA SAMP     CSLOOK_TablesHeader  CREATE TABLE SAMP.IN_TRAY RECEIVED TIMESTAMP  SOURCE CHAR)  SUBJECT CHAR)  NOTE_TEXT VARCHAR))    
0;Lock not being released properly  possibly related to occurence of lock escalation   ;In the following scenario lt code snippetgt  String sel  select * from t FOR UPDATE of i  PreparedStatement ps  conn.prepareStatement sel  int val    ps.setMaxRowsval  ResultSet rs  ps.executeQuery  String ins  Update t set i? WHERE CURRENT OF rs.getCursorName   PreparedStatement ps  conn.prepareStatementins  ps.setInt iteration  whilers.next  ps.executeUpdate  }   print lock table information System.out.printlnLock Table before commit transaction  printLockTableconn  conn.commit lt end code snippetgt Running the above transaction twice causes a lock timeout the second time.It seems like locks are not being released properly on the table even after the transaction commits and the connection is closed. Also  this condition seems to happen only when lock escalation to table lock occurs. By increasing lock escalation threshold to prevent lock escalation and with only row level locking  the locks are released properly.I printed out the locks information and see a U row level lock on the table   and also a table level lock as a result of lock escalation. After commit  and resultset being closed  the U row level lock is not released. Thus in the second iteration of the test  the unreleased U row level lock causes a lock timeout to happen. In case of the second iteration of the test  the lock table shows the previous U row lock with a null transaction id. This is not right. The transactions are running at the default isolation level  read committed.By default  the lock escalation threshold is set to httpincubator.apache.orgderbymanualstuningperf.htmlIDXI will be attaching the program for reproduction. To reproduce the problem with less number of rows in the table  please run the program with the following derby properties set derby.locks.deadlockTracetruederby.locks.escalationThreshold   
